# td fd dms ddm ndm snrloss maxwidth(s)
1 1 1.0000 0.0100 431 0.1 1
1 1 5.3100 0.0100 431 0.1 1
1 1 9.6200 0.0100 431 0.1 1
1 1 13.9300 0.0100 431 0.1 1
1 1 18.2400 0.0100 431 0.1 1
1 1 22.5500 0.0100 431 0.1 1
1 1 26.8600 0.0100 431 0.1 1
1 1 31.1700 0.0100 431 0.1 1
1 1 35.4800 0.0100 431 0.1 1
1 1 39.7900 0.0100 431 0.1 1
1 1 44.1000 0.0100 431 0.1 1
1 1 48.4100 0.0100 431 0.1 1
1 1 52.7200 0.0100 431 0.1 1
1 1 57.0300 0.0100 431 0.1 1
1 1 61.3400 0.0100 431 0.1 1
1 1 65.6500 0.0100 431 0.1 1



